Rank,Category,Template,Size,Files,HTML_Pages,TechStack,Features,Tier,PriceMin,PriceMax,VisualScore,FunctionScore,ValueScore,CompositeScore,Economies
126,technology-saas,freecssdesigns_pulse-analytics,221.0K,11,5,Static,Static,C,100,500,5,6,4,5.0,"USA,Canada,UK,Australia,Switzerland,Germany,France"
127,insurance,freecssdesigns_chain_vault,202.3K,11,5,Static,Static,C,100,500,5,6,4,5.0,"USA,Canada,UK,Australia,Switzerland,Germany,France"
128,resort,freecssdesigns_azure_tide_resort,137.4K,11,5,Static,Static,C,100,500,5,6,4,5.0,"USA,Canada,UK,Australia,Switzerland,Germany,France"
129,church-religious,freecssdesigns_Church,124.6K,10,5,Static,Static,C,100,500,5,6,4,5.0,"USA,Canada,UK,Australia,Switzerland,Germany,France"
130,photography,freecssdesigns_galerie-lumen,115.9K,11,5,Static,Static,C,100,500,5,6,4,5.0,"USA,Canada,UK,Australia,Switzerland,Germany,France"
131,hospital,assets,13.0M,122,0,Bootstrap,Bootstrap,C,100,500,5,5,4,4.7,"USA,Canada,UK,Australia,Switzerland,Germany,France"
132,gardening-landscaping,smart-interior-designs,4.5M,99,1,Bootstrap,Bootstrap,C,100,500,5,5,4,4.7,"USA,Canada,UK,Australia,Switzerland,Germany,France"
133,furniture-interior,learning-zone_smart-interior-designs-html5-bootstrap-web-template,4.5M,99,1,Bootstrap,Bootstrap,C,100,500,5,5,4,4.7,"USA,Canada,UK,Australia,Switzerland,Germany,France"
134,mobile,learning-zone_smartapp-free-html5-landing-page,4.4M,71,1,Bootstrap,Bootstrap,C,100,500,5,5,4,4.7,"USA,Canada,UK,Australia,Switzerland,Germany,France"
135,cv-resume,learning-zone_iam-html5-responsive-portfolio-resume-template,4.3M,90,1,Bootstrap,Bootstrap,C,100,500,5,5,4,4.7,"USA,Canada,UK,Australia,Switzerland,Germany,France"
136,yoga-wellness,fit-healthy-fitness,4.3M,76,1,Bootstrap,Bootstrap,C,100,500,5,5,4,4.7,"USA,Canada,UK,Australia,Switzerland,Germany,France"
137,yoga,fit-healthy-fitness,4.3M,76,1,Bootstrap,Bootstrap,C,100,500,5,5,4,4.7,"USA,Canada,UK,Australia,Switzerland,Germany,France"
